Domen | Tugash muddati | Status
63.uz | 09-Mar-2026 | ACTIVE
64.uz | 11-Feb-2027 | ACTIVE
65.uz | 07-Apr-2026 | ACTIVE
66.uz | 21-Aug-2026 | ACTIVE
67.uz | 07-Apr-2026 | ACTIVE
68.uz | 21-May-2027 | ACTIVE
69.uz | 02-Feb-2027 | ACTIVE
7a.uz | 27-Jul-2026 | ACTIVE
7b.uz | 12-Sep-2026 | ACTIVE
7c.uz | 12-Dec-2026 | ACTIVE
7d.uz | 27-Mar-2026 | ACTIVE
7e.uz | 27-Jul-2026 | ACTIVE
7f.uz | 27-Jul-2026 | ACTIVE
7g.uz | 24-Feb-2027 | ACTIVE
7h.uz | 27-Jul-2026 | ACTIVE
7i.uz | 10-May-2026 | ACTIVE
7j.uz | 27-Jul-2026 | ACTIVE
7k.uz | 03-Jun-2026 | ACTIVE
7l.uz | 03-Oct-2026 | ACTIVE
7m.uz | 27-Jul-2026 | ACTIVE
7n.uz | 27-Jul-2026 | ACTIVE
7o.uz | 27-Jul-2026 | ACTIVE
7p.uz | 27-Jul-2026 | ACTIVE
7q.uz | 25-Sep-2026 | ACTIVE
7r.uz | 27-Jul-2026 | ACTIVE
7s.uz | 27-Jul-2026 | ACTIVE
7t.uz | 27-Jul-2026 | ACTIVE
7u.uz | 27-Jul-2026 | ACTIVE
7v.uz | 27-Jul-2026 | ACTIVE
7w.uz | 26-Jul-2026 | ACTIVE
7x.uz | 11-Aug-2026 | ACTIVE
7y.uz | 12-Jan-2032 | ACTIVE
7z.uz | 08-Jan-2027 | ACTIVE
70.uz | 05-Feb-2026 | EXPIRED
71.uz | 22-Aug-2026 | ACTIVE
72.uz | 31-Jan-2029 | ACTIVE
73.uz | 23-Sep-2030 | ACTIVE
74.uz | 02-Feb-2027 | ACTIVE
75.uz | 26-Sep-2027 | ACTIVE
76.uz | 20-Jan-2027 | ACTIVE
77.uz | 09-Sep-2032 | ACTIVE
78.uz | 25-Jan-2027 | ACTIVE
79.uz | 07-Apr-2026 | ACTIVE
8a.uz | 27-Jul-2026 | ACTIVE
8b.uz | 27-Jul-2026 | ACTIVE
8c.uz | 27-Jul-2026 | ACTIVE
8d.uz | 01-Apr-2026 | ACTIVE
8e.uz | 27-Jul-2026 | ACTIVE
8f.uz | 27-Jul-2026 | ACTIVE
8g.uz | 15-Oct-2026 | ACTIVE
8h.uz | 27-Jul-2026 | ACTIVE
8i.uz | 27-Jul-2026 | ACTIVE
8j.uz | 27-Jul-2026 | ACTIVE
8k.uz | 17-May-2026 | ACTIVE
8l.uz | 27-Jul-2026 | ACTIVE
8m.uz | 27-Jul-2026 | ACTIVE
8n.uz | 27-Jul-2026 | ACTIVE
8o.uz | 27-Jul-2026 | ACTIVE
8p.uz | 27-Jul-2026 | ACTIVE
8q.uz | 27-Jul-2026 | ACTIVE
8r.uz | 27-Jul-2026 | ACTIVE
8s.uz | 27-Jul-2026 | ACTIVE
8t.uz | 27-Jul-2026 | ACTIVE
8u.uz | 27-Jul-2026 | ACTIVE
8v.uz | 27-Jul-2026 | ACTIVE
8w.uz | 26-Jul-2026 | ACTIVE
8x.uz | 26-Jul-2026 | ACTIVE
8y.uz | 26-Jul-2026 | ACTIVE
8z.uz | 26-Jul-2026 | ACTIVE
80.uz | 12-Jul-2026 | ACTIVE
81.uz | 07-Apr-2026 | ACTIVE
82.uz | 07-Apr-2026 | ACTIVE
83.uz | 11-Oct-2026 | ACTIVE
84.uz | 07-Apr-2026 | ACTIVE
85.uz | 20-May-2026 | ACTIVE
86.uz | 07-Apr-2026 | ACTIVE
87.uz | 31-Jan-2027 | ACTIVE
88.uz | 11-Jun-2030 | ACTIVE
89.uz | 07-Apr-2026 | ACTIVE
9a.uz | 27-Jul-2026 | ACTIVE
9b.uz | 27-Jul-2026 | ACTIVE
9c.uz | 27-Jul-2026 | ACTIVE
9d.uz | 27-Jul-2026 | ACTIVE
9e.uz | 27-Jul-2026 | ACTIVE
9f.uz | 27-Jul-2026 | ACTIVE
9g.uz | 24-Feb-2027 | ACTIVE
9h.uz | 27-Jul-2026 | ACTIVE
9i.uz | 27-Jul-2026 | ACTIVE
9j.uz | 27-Jul-2026 | ACTIVE
9k.uz | 12-Jul-2026 | ACTIVE
9l.uz | 27-Jul-2026 | ACTIVE
9m.uz | 27-Jul-2026 | ACTIVE
9n.uz | 27-Jul-2026 | ACTIVE
9o.uz | 27-Jul-2026 | ACTIVE
9p.uz | 27-Jul-2026 | ACTIVE
9q.uz | 27-Jul-2026 | ACTIVE
9r.uz | 27-Jul-2026 | ACTIVE
9s.uz | 27-Jul-2026 | ACTIVE
9t.uz | 27-Jul-2026 | ACTIVE
9u.uz | 27-Jul-2026 | ACTIVE
9v.uz | 27-Jul-2026 | ACTIVE
9w.uz | 26-Jul-2026 | ACTIVE
9x.uz | 26-Jul-2026 | ACTIVE
9y.uz | 26-Jul-2026 | ACTIVE
9z.uz | 26-Jul-2026 | ACTIVE
90.uz | 24-Jul-2027 | ACTIVE
91.uz | - | AUCTION
92.uz | 07-Apr-2026 | ACTIVE
93.uz | 07-Apr-2026 | ACTIVE
94.uz | 07-Apr-2026 | ACTIVE
95.uz | 04-May-2026 | ACTIVE
96.uz | 10-Mar-2034 | ACTIVE
97.uz | 07-Apr-2026 | ACTIVE
98.uz | 19-Dec-2026 | ACTIVE
99.uz | 21-Aug-2026 | ACTIVE
